"common/c_cpp/src/c/fileparser.c:174","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/mama/mama.h:445 -> mama/c_cpp/src/c/mama.c:1778","(style, inconclusive) Function 'mama_startBackgroundEx' argument 2 names different: declaration 'callback' definition 'exCallback'."
"mama/c_cpp/src/c/mama/msgfield.h:43 -> mama/c_cpp/src/c/msgfield.c:51","(style, inconclusive) Function 'mamaMsgField_create' argument 1 names different: declaration 'msgField' definition 'field'."
"mama/c_cpp/src/c/mama/msgfield.h:52 -> mama/c_cpp/src/c/msgfield.c:75","(style, inconclusive) Function 'mamaMsgField_destroy' argument 1 names different: declaration 'msgField' definition 'field'."
"mama/c_cpp/src/c/mama/msgfield.h:542 -> mama/c_cpp/src/c/msgfield.c:726","(style, inconclusive) Function 'mamaMsgField_getVectorMsg' argument 3 names different: declaration 'size' definition 'resultLen'."
"mama/c_cpp/src/c/mama/msgfield.h:557 -> mama/c_cpp/src/c/msgfield.c:818","(style, inconclusive) Function 'mamaMsgField_getAsString' argument 1 names different: declaration 'field' definition 'msgField'."
"mama/c_cpp/src/c/mama/msgfield.h:559 -> mama/c_cpp/src/c/msgfield.c:820","(style, inconclusive) Function 'mamaMsgField_getAsString' argument 3 names different: declaration 'length' definition 'len'."
"mama/c_cpp/src/c/mama/msg.h:1074 -> mama/c_cpp/src/c/msg.c:2222","(style, inconclusive) Function 'mamaMsg_applyMsg' argument 1 names different: declaration 'dest' definition 'msg'."
"mama/c_cpp/src/c/mama/msg.h:1098 -> mama/c_cpp/src/c/msg.c:3371","(style, inconclusive) Function 'mamaMsg_getReplyHandle' argument 2 names different: declaration 'replyHandle' definition 'handle'."
"mama/c_cpp/src/c/mama/msg.h:1110 -> mama/c_cpp/src/c/msg.c:3357","(style, inconclusive) Function 'mamaMsg_setReplyHandle' argument 2 names different: declaration 'replyHandle' definition 'handle'."
"mama/c_cpp/src/c/mama/msg.h:1121 -> mama/c_cpp/src/c/msg.c:3386","(style, inconclusive) Function 'mamaMsg_copyReplyHandle' argument 1 names different: declaration 'src' definition 'srcHandle'."
"mama/c_cpp/src/c/mama/msg.h:1129 -> mama/c_cpp/src/c/msg.c:3401","(style, inconclusive) Function 'mamaMsg_destroyReplyHandle' argument 1 names different: declaration 'replyHandle' definition 'handle'."
"mama/c_cpp/src/c/mama/msg.h:1143 -> mama/c_cpp/src/c/msg.c:2247","(style, inconclusive) Function 'mamaMsg_updateSubMsg' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1145 -> mama/c_cpp/src/c/msg.c:2249","(style, inconclusive) Function 'mamaMsg_updateSubMsg' argument 4 names different: declaration 'subMsg' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1160 -> mama/c_cpp/src/c/msg.c:2361","(style, inconclusive) Function 'mamaMsg_updateVectorMsg' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1162 -> mama/c_cpp/src/c/msg.c:2363","(style, inconclusive) Function 'mamaMsg_updateVectorMsg' argument 4 names different: declaration 'msgList' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1178 -> mama/c_cpp/src/c/msg.c:2381","(style, inconclusive) Function 'mamaMsg_updateVectorString' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1180 -> mama/c_cpp/src/c/msg.c:2383","(style, inconclusive) Function 'mamaMsg_updateVectorString' argument 4 names different: declaration 'strList' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1196 -> mama/c_cpp/src/c/msg.c:2402","(style, inconclusive) Function 'mamaMsg_updateVectorBool' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1198 -> mama/c_cpp/src/c/msg.c:2404","(style, inconclusive) Function 'mamaMsg_updateVectorBool' argument 4 names different: declaration 'boolList' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1214 -> mama/c_cpp/src/c/msg.c:2423","(style, inconclusive) Function 'mamaMsg_updateVectorChar' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1216 -> mama/c_cpp/src/c/msg.c:2425","(style, inconclusive) Function 'mamaMsg_updateVectorChar' argument 4 names different: declaration 'charList' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1232 -> mama/c_cpp/src/c/msg.c:2444","(style, inconclusive) Function 'mamaMsg_updateVectorI8' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1234 -> mama/c_cpp/src/c/msg.c:2446","(style, inconclusive) Function 'mamaMsg_updateVectorI8' argument 4 names different: declaration 'i8List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1250 -> mama/c_cpp/src/c/msg.c:2464","(style, inconclusive) Function 'mamaMsg_updateVectorU8' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1252 -> mama/c_cpp/src/c/msg.c:2466","(style, inconclusive) Function 'mamaMsg_updateVectorU8' argument 4 names different: declaration 'u8List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1268 -> mama/c_cpp/src/c/msg.c:2485","(style, inconclusive) Function 'mamaMsg_updateVectorI16' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1270 -> mama/c_cpp/src/c/msg.c:2487","(style, inconclusive) Function 'mamaMsg_updateVectorI16' argument 4 names different: declaration 'i16List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1286 -> mama/c_cpp/src/c/msg.c:2505","(style, inconclusive) Function 'mamaMsg_updateVectorU16' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1288 -> mama/c_cpp/src/c/msg.c:2507","(style, inconclusive) Function 'mamaMsg_updateVectorU16' argument 4 names different: declaration 'u16List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1304 -> mama/c_cpp/src/c/msg.c:2525","(style, inconclusive) Function 'mamaMsg_updateVectorI32' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1306 -> mama/c_cpp/src/c/msg.c:2527","(style, inconclusive) Function 'mamaMsg_updateVectorI32' argument 4 names different: declaration 'i32List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1322 -> mama/c_cpp/src/c/msg.c:2545","(style, inconclusive) Function 'mamaMsg_updateVectorU32' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1324 -> mama/c_cpp/src/c/msg.c:2547","(style, inconclusive) Function 'mamaMsg_updateVectorU32' argument 4 names different: declaration 'u32List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1340 -> mama/c_cpp/src/c/msg.c:2565","(style, inconclusive) Function 'mamaMsg_updateVectorI64' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1342 -> mama/c_cpp/src/c/msg.c:2567","(style, inconclusive) Function 'mamaMsg_updateVectorI64' argument 4 names different: declaration 'i64List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1358 -> mama/c_cpp/src/c/msg.c:2585","(style, inconclusive) Function 'mamaMsg_updateVectorU64' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1360 -> mama/c_cpp/src/c/msg.c:2587","(style, inconclusive) Function 'mamaMsg_updateVectorU64' argument 4 names different: declaration 'u64List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1376 -> mama/c_cpp/src/c/msg.c:2605","(style, inconclusive) Function 'mamaMsg_updateVectorF32' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1378 -> mama/c_cpp/src/c/msg.c:2607","(style, inconclusive) Function 'mamaMsg_updateVectorF32' argument 4 names different: declaration 'f32List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1394 -> mama/c_cpp/src/c/msg.c:2625","(style, inconclusive) Function 'mamaMsg_updateVectorF64' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1396 -> mama/c_cpp/src/c/msg.c:2627","(style, inconclusive) Function 'mamaMsg_updateVectorF64' argument 4 names different: declaration 'f64List' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1412 -> mama/c_cpp/src/c/msg.c:2341","(style, inconclusive) Function 'mamaMsg_updateVectorPrice' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1414 -> mama/c_cpp/src/c/msg.c:2343","(style, inconclusive) Function 'mamaMsg_updateVectorPrice' argument 4 names different: declaration 'priceList' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:1430 -> mama/c_cpp/src/c/msg.c:2321","(style, inconclusive) Function 'mamaMsg_updateVectorTime' argument 2 names different: declaration 'fname' definition 'name'."
"mama/c_cpp/src/c/mama/msg.h:1432 -> mama/c_cpp/src/c/msg.c:2323","(style, inconclusive) Function 'mamaMsg_updateVectorTime' argument 4 names different: declaration 'timeList' definition 'value'."
"mama/c_cpp/src/c/mama/msg.h:2051 -> mama/c_cpp/src/c/msg.c:3158","(style, inconclusive) Function 'mamaMsg_getVectorMsg' argument 4 names different: declaration 'result' definition 'result0'."
"mama/c_cpp/src/c/mama/msg.h:2066 -> mama/c_cpp/src/c/msg.c:912","(style, inconclusive) Function 'mamaMsg_getNumFields' argument 2 names different: declaration 'numFields' definition 'result'."
"mama/c_cpp/src/c/mama/msg.h:2107 -> mama/c_cpp/src/c/msg.c:2644","(style, inconclusive) Function 'mamaMsg_getEntitleCode' argument 2 names different: declaration 'code' definition 'entitleCode'."
"mama/c_cpp/src/c/mama/msg.h:2120 -> mama/c_cpp/src/c/msg.c:3416","(style, inconclusive) Function 'mamaMsg_getSeqNum' argument 2 names different: declaration 'seqNum' definition 'rval'."
"mama/c_cpp/src/c/mama/msg.h:2168 -> mama/c_cpp/src/c/msg.c:2723","(style, inconclusive) Function 'mamaMsg_getFieldAsString' argument 5 names different: declaration 'length' definition 'len'."
"mama/c_cpp/src/c/mama/msg.h:2193 -> mama/c_cpp/src/c/msg.c:2763","(style, inconclusive) Function 'mamaMsg_iterateFields' argument 2 names different: declaration 'callback' definition 'cb'."
"mama/c_cpp/src/c/mama/msgqualifier.h:274 -> mama/c_cpp/src/c/msgqualifier.c:252","(style, inconclusive) Function 'mamaMsgQual_getAsString' argument 3 names different: declaration 'str' definition 'buf'."
"mama/c_cpp/src/c/mama/msgqualifier.h:275 -> mama/c_cpp/src/c/msgqualifier.c:253","(style, inconclusive) Function 'mamaMsgQual_getAsString' argument 4 names different: declaration 'maxLen' definition 'bufMaxLen'."
"mama/c_cpp/src/c/mama/msgqualifier.h:291 -> mama/c_cpp/src/c/msgqualifier.c:268","(style, inconclusive) Function 'mamaMsgQual_valueToString' argument 3 names different: declaration 'str' definition 'buf'."
"mama/c_cpp/src/c/mama/msgqualifier.h:292 -> mama/c_cpp/src/c/msgqualifier.c:269","(style, inconclusive) Function 'mamaMsgQual_valueToString' argument 4 names different: declaration 'maxLen' definition 'bufMaxLen'."
"mama/c_cpp/src/c/mama/msgqualifier.h:50 -> mama/c_cpp/src/c/msgqualifier.c:47","(style, inconclusive) Function 'mamaMsgQual_create' argument 1 names different: declaration 'msgQual' definition 'result'."
"mama/c_cpp/src/c/mama/msgstatus.h:117 -> mama/c_cpp/src/c/msgstatus.c:44","(style, inconclusive) Function 'mamaMsgStatus_stringForStatus' argument 1 names different: declaration 'type' definition 'status'."
"mama/c_cpp/src/c/mama/price.h:324 -> mama/c_cpp/src/c/price.c:297","(style, inconclusive) Function 'mamaPrice_getAsString' argument 2 names different: declaration 'str' definition 'buf'."
"mama/c_cpp/src/c/mama/price.h:325 -> mama/c_cpp/src/c/price.c:298","(style, inconclusive) Function 'mamaPrice_getAsString' argument 3 names different: declaration 'maxLen' definition 'bufMaxLen'."
"mama/c_cpp/src/c/mama/source.h:123 -> mama/c_cpp/src/c/source.c:212","(style, inconclusive) Function 'mamaSource_setState' argument 2 names different: declaration 'quality' definition 'state'."
"mama/c_cpp/src/c/mama/source.h:150 -> mama/c_cpp/src/c/source.c:247","(style, inconclusive) Function 'mamaSource_setSymbolNamespace' argument 2 names different: declaration 'symbolNamespace' definition 'symbolNameSpace'."
"mama/c_cpp/src/c/mama/source.h:269 -> mama/c_cpp/src/c/source.c:406","(style, inconclusive) Function 'mamaSource_getSymbolNamespace' argument 2 names different: declaration 'symbolNamespace' definition 'symbolNameSpace'."
"mama/c_cpp/src/c/mama/sourceman.h:159 -> mama/c_cpp/src/c/sourceman.c:238","(style, inconclusive) Function 'mamaSourceManager_iterateSources' argument 1 names different: declaration 'sourceGroup' definition 'sourceManager'."
"mama/c_cpp/src/c/mama/stat.h:73 -> mama/c_cpp/src/c/stat.c:49","(style, inconclusive) Function 'mamaStat_create' argument 2 names different: declaration 'collector' definition 'statsCollector'."
"mama/c_cpp/src/c/mama/stat.h:73 -> mama/c_cpp/src/c/stat.c:49","(style, inconclusive) Function 'mamaStat_create' argument 5 names different: declaration 'type' definition 'fid'."
"mama/c_cpp/src/c/mama/statslogger.h:202 -> mama/c_cpp/src/c/statslogger.c:508","(style, inconclusive) Function 'mamaStatsLogger_setApplicationName' argument 2 names different: declaration 'appName' definition 'applicationName'."
"mama/c_cpp/src/c/mama/statslogger.h:213 -> mama/c_cpp/src/c/statslogger.c:521","(style, inconclusive) Function 'mamaStatsLogger_getApplicationName' argument 2 names different: declaration 'appName' definition 'applicationName'."
"mama/c_cpp/src/c/mama/statslogger.h:224 -> mama/c_cpp/src/c/statslogger.c:532","(style, inconclusive) Function 'mamaStatsLogger_setApplicationClass' argument 2 names different: declaration 'applClass' definition 'applicationClass'."
"mama/c_cpp/src/c/mama/statslogger.h:235 -> mama/c_cpp/src/c/statslogger.c:545","(style, inconclusive) Function 'mamaStatsLogger_getApplicationClass' argument 2 names different: declaration 'appClass' definition 'applicationClass'."
"mama/c_cpp/src/c/mama/statslogger.h:333 -> mama/c_cpp/src/c/statslogger.c:778","(style, inconclusive) Function 'mamaStatsLogger_incMsgCount' argument 1 names different: declaration 'statsLogger' definition 'logger'."
"mama/c_cpp/src/c/mama/subscmsgtype.h:64 -> mama/c_cpp/src/c/subscmsgtype.c:26","(style, inconclusive) Function 'MamaSubscMsgTypeStr' argument 1 names different: declaration 'msgType' definition 'type'."
"mama/c_cpp/src/c/mama/subscription.h:1139 -> mama/c_cpp/src/c/subscription.c:2006","(style, inconclusive) Function 'mamaSubscription_setMsgQualifierFilter' argument 4 names different: declaration 'ignoreDefinitelyDelayed' definition 'ignoreDefinitelyDelyaed'."
"mama/c_cpp/src/c/mama/subscription.h:411 -> mama/c_cpp/src/c/subscription.c:902","(style, inconclusive) Function 'mamaSubscription_createBasic' argument 5 names different: declaration 'symbol' definition 'topic'."
"mama/c_cpp/src/c/mama/subscription.h:595 -> mama/c_cpp/src/c/subscription.c:1995","(style, inconclusive) Function 'mamaSubscription_getAppDataType' argument 2 names different: declaration 'appDataType' definition 'val'."
"mama/c_cpp/src/c/mama/subscription.h:674 -> mama/c_cpp/src/c/subscription.c:2063","(style, inconclusive) Function 'mamaSubscription_getMsgQualifierFilter' argument 4 names different: declaration 'ignoreDefinitelyDelayed' definition 'ignoreDefinitelyDelyaed'."
"mama/c_cpp/src/c/mama/subscription.h:695 -> mama/c_cpp/src/c/subscription.c:1824","(style, inconclusive) Function 'mamaSubscription_getPlatformError' argument 1 names different: declaration 'subsc' definition 'subscription'."
"mama/c_cpp/src/c/mama/subscription.h:728 -> mama/c_cpp/src/c/subscription.c:1698","(style, inconclusive) Function 'mamaSubscription_getQueue' argument 2 names different: declaration 'queue' definition 'result'."
"mama/c_cpp/src/c/mama/subscription.h:762 -> mama/c_cpp/src/c/subscription.c:1164","(style, inconclusive) Function 'mamaSubscription_getRecoverGaps' argument 2 names different: declaration 'doesRecover' definition 'result'."
"mama/c_cpp/src/c/mama/subscription.h:795 -> mama/c_cpp/src/c/subscription.c:1973","(style, inconclusive) Function 'mamaSubscription_getRetries' argument 2 names different: declaration 'retries' definition 'val'."
"mama/c_cpp/src/c/mama/subscription.h:829 -> mama/c_cpp/src/c/subscription.c:1795","(style, inconclusive) Function 'mamaSubscription_getServiceLevelOpt' argument 2 names different: declaration 'serviceLevel' definition 'serviceLevelOpt'."
"mama/c_cpp/src/c/mama/subscription.h:940 -> mama/c_cpp/src/c/subscription.c:1916","(style, inconclusive) Function 'mamaSubscription_getTimeout' argument 2 names different: declaration 'timeout' definition 'val'."
"mama/c_cpp/src/c/mama/subscription.h:956 -> mama/c_cpp/src/c/subscription.c:1941","(style, inconclusive) Function 'mamaSubscription_getRecapTimeout' argument 2 names different: declaration 'timeout' definition 'val'."
"mama/c_cpp/src/c/mama/subscription.h:972 -> mama/c_cpp/src/c/subscription.c:1689","(style, inconclusive) Function 'mamaSubscription_getTransport' argument 2 names different: declaration 'transport' definition 'result'."
"mama/c_cpp/src/c/mama/subscriptiontype.h:50 -> mama/c_cpp/src/c/subscriptiontype.c:24","(style, inconclusive) Function 'MamaSubscTypeStr' argument 1 names different: declaration 'subtype' definition 'type'."
"mama/c_cpp/src/c/mama/symbollist.h:119 -> mama/c_cpp/src/c/symbollist.c:96","(style, inconclusive) Function 'mamaSymbolList_allocate' argument 1 names different: declaration 'symbolList' definition 'result'."
"mama/c_cpp/src/c/mama/timer.h:188 -> mama/c_cpp/src/c/timer.c:299","(style, inconclusive) Function 'mamaTimer_getQueue' argument 2 names different: declaration 'queue' definition 'result'."
"mama/c_cpp/src/c/mama/transport.h:233 -> mama/c_cpp/src/c/transport.c:1780","(style, inconclusive) Function 'mamaTransport_setWriteQueueWatermarks' argument 2 names different: declaration 'highWater' definition 'high'."
"mama/c_cpp/src/c/mama/transport.h:234 -> mama/c_cpp/src/c/transport.c:1781","(style, inconclusive) Function 'mamaTransport_setWriteQueueWatermarks' argument 3 names different: declaration 'lowWater' definition 'low'."
"mama/c_cpp/src/c/mama/transport.h:519 -> mama/c_cpp/src/c/transport.c:2237","(style, inconclusive) Function 'mamaTransport_freeAllConnections' argument 2 names different: declaration 'result' definition 'connections'."
"mama/c_cpp/src/c/mama/transport.h:539 -> mama/c_cpp/src/c/transport.c:2277","(style, inconclusive) Function 'mamaTransport_freeAllServerConnections' argument 2 names different: declaration 'result' definition 'connections'."
"mama/c_cpp/src/c/mamautils.c:82 -> mama/c_cpp/src/c/mamautils.c:83","(style) Variable 'pipePosition' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/msg.c:2829","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/msg.c:2850","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/msg.c:2871","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/msg.c:2892","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"mama/c_cpp/src/c/msg.c:3162","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/msg.c:3576 -> mama/c_cpp/src/c/msg.c:3578","(style) Variable 'localiterator' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/msg.c:3619 -> mama/c_cpp/src/c/msg.c:3617","(warning, inconclusive) Either the condition '!impl' is redundant or there is possible null pointer dereference: impl."
"mama/c_cpp/src/c/msg.c:3652 -> mama/c_cpp/src/c/msg.c:3651","(warning, inconclusive) Either the condition '!impl' is redundant or there is possible null pointer dereference: impl."
"mama/c_cpp/src/c/msg.c:3674 -> mama/c_cpp/src/c/msg.c:3673","(warning, inconclusive) Either the condition '!impl' is redundant or there is possible null pointer dereference: impl."
"mama/c_cpp/src/c/msgfield.c:108 -> mama/c_cpp/src/c/msgfield.c:109","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/msgfield.c:474 -> mama/c_cpp/src/c/msgfield.c:476","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/msgfield.c:742","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/msgimpl.h:108 -> mama/c_cpp/src/c/msg.c:462","(style, inconclusive) Function 'mamaMsgImpl_setPayload' argument 3 names different: declaration 'ownsPayload' definition 'owner'."
"mama/c_cpp/src/c/msgimpl.h:53 -> mama/c_cpp/src/c/msg.c:690","(style, inconclusive) Function 'mamaMsgImpl_createForPayload' argument 4 names different: declaration 'noDeletePayload' definition 'owner'."
"mama/c_cpp/src/c/msgutils.h:101 -> mama/c_cpp/src/c/msgutils.c:187","(style, inconclusive) Function 'msgUtils_createRecoveryRequestMsg' argument 1 names different: declaration 'subsc' definition 'subscription'."
"mama/c_cpp/src/c/playback/playbackcapture.c:151","(style) The scope of the variable 'temp' can be reduced."
"mama/c_cpp/src/c/playback/playbackcapture.c:225","(style) The scope of the variable 'delim' can be reduced."
"mama/c_cpp/src/c/playback/playbackcapture.c:227","(style) The scope of the variable 'captureBuffer' can be reduced."
"mama/c_cpp/src/c/playback/playbackcapture.c:281","(portability) Non reentrant function 'localtime' called. For threadsafe applications it is recommended to use the reentrant replacement function 'localtime_r'."
"mama/c_cpp/src/c/playback/playbackcapture.h:106 -> mama/c_cpp/src/c/playback/playbackcapture.c:203","(style, inconclusive) Function 'mamaCapture_getFeedSource' argument 2 names different: declaration 'source' definition 'sourceName'."
"mama/c_cpp/src/c/playback/playbackcapture.h:150 -> mama/c_cpp/src/c/playback/playbackcapture.c:319","(style, inconclusive) Function 'mamaCapture_getTransportName' argument 2 names different: declaration 'transport' definition 'transportName'."
"mama/c_cpp/src/c/playback/playbackFileParser.c:217","(style) Variable 'i' is assigned a value that is never used."
"mama/c_cpp/src/c/playback/playbackFileParser.c:279","(style) Variable 'fileStatus' is assigned a value that is never used."
"mama/c_cpp/src/c/playback/playbackFileParser.c:329 -> mama/c_cpp/src/c/playback/playbackFileParser.c:333","(style) Variable 'temp' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/playback/playbackFileParser.c:330","(style) Unused variable: nPos"
"mama/c_cpp/src/c/playback/playbackFileParser.c:53","(style) The scope of the variable 'c' can be reduced."
"mama/c_cpp/src/c/playback/playbackpublisher.c:217","(style) The scope of the variable 'result' can be reduced."
"mama/c_cpp/src/c/playback/playbackpublisher.c:218 -> mama/c_cpp/src/c/playback/playbackpublisher.c:221","(style) Variable 'tempTransport' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/playback/playbackpublisher.c:273","(style) The scope of the variable 'nPos' can be reduced."
"mama/c_cpp/src/c/playback/playbackpublisher.c:274","(style) The scope of the variable 'topic' can be reduced."
"mama/c_cpp/src/c/playback/playbackpublisher.c:275","(style) The scope of the variable 'keyCopy' can be reduced."
"mama/c_cpp/src/c/playback/playbackpublisher.c:277","(style) The scope of the variable 'result' can be reduced."
"mama/c_cpp/src/c/playback/playbackpublisher.c:278 -> mama/c_cpp/src/c/playback/playbackpublisher.c:282","(style) Variable 'tempPublisher' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/playback/playbackpublisher.c:408","(style) The scope of the variable 'position' can be reduced."
"mama/c_cpp/src/c/playback/playbackpublisher.c:630 -> mama/c_cpp/src/c/playback/playbackpublisher.c:636","(style) Variable 'transport' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/plugin.c:229","(style) The scope of the variable 'loadPluginName' can be reduced."
"mama/c_cpp/src/c/price.c:222","(style) The scope of the variable 'multiplier' can be reduced."
"mama/c_cpp/src/c/price.c:223","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/price.c:225","(style) The scope of the variable 'tempval' can be reduced."
"mama/c_cpp/src/c/publisher.c:571 -> mama/c_cpp/src/c/publisher.c:576","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/publisher.c:633 -> mama/c_cpp/src/c/publisher.c:639","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/publisher.c:727 -> mama/c_cpp/src/c/publisher.c:730","(style) Variable 'c' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/queue.c:1042 -> mama/c_cpp/src/c/queue.c:1044","(style) Variable 'impl->mQueueName' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/queue.c:814","(style) Variable 'status' is assigned a value that is never used."
"mama/c_cpp/src/c/refreshtransport.h:43 -> mama/c_cpp/src/c/refreshtransport.c:429","(style, inconclusive) Function 'refreshTransport_resetRefreshForListener' argument 1 names different: declaration 'transport' definition 'impl'."
"mama/c_cpp/src/c/refreshtransport.h:51 -> mama/c_cpp/src/c/refreshtransport.c:443","(style, inconclusive) Function 'refreshTransport_removeListener' argument 1 names different: declaration 'transport' definition 'impl'."
"mama/c_cpp/src/c/senderId.c:39 -> mama/c_cpp/src/c/senderId.c:41","(style) Variable 'ip' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/senderId.c:67","(style) Obsolescent function 'gethostbyname' called. It is recommended to use 'getaddrinfo' instead."
"mama/c_cpp/src/c/sourceman.c:58","(error) Memory leak: impl"
"mama/c_cpp/src/c/stat.c:280","(style) The scope of the variable 'current' can be reduced."
"mama/c_cpp/src/c/statinternal.h:40 -> mama/c_cpp/src/c/stat.c:327","(style, inconclusive) Function 'mamaStat_setPollCallback' argument 2 names different: declaration 'callback' definition 'cb'."
"mama/c_cpp/src/c/statscollectorinternal.h:69 -> mama/c_cpp/src/c/statscollector.c:99","(style, inconclusive) Function 'mamaStatsCollector_setStatIntervalValueFromTotal' argument 2 names different: declaration 'identifier' definition 'identifer'."
"mama/c_cpp/src/c/statsgeneratorinternal.h:34 -> mama/c_cpp/src/c/statsgenerator.c:51","(style, inconclusive) Function 'mamaStatsGenerator_create' argument 2 names different: declaration 'reportInterval' definition 'interval'."
"mama/c_cpp/src/c/statsgeneratorinternal.h:66 -> mama/c_cpp/src/c/statsgenerator.c:162","(style, inconclusive) Function 'mamaStatsGenerator_generateStats' argument 1 names different: declaration 'statsgenerator' definition 'statsGenerator'."
"mama/c_cpp/src/c/statsgeneratorinternal.h:70 -> mama/c_cpp/src/c/statsgenerator.c:99","(style, inconclusive) Function 'mamaStatsGenerator_setQueue' argument 1 names different: declaration 'statsgenerator' definition 'statsGenerator'."
"mama/c_cpp/src/c/statslogger.c:1002 -> mama/c_cpp/src/c/statslogger.c:1006","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/statslogger.c:1034","(style) Variable 'status' is assigned a value that is never used."
"mama/c_cpp/src/c/statslogger.c:673 -> mama/c_cpp/src/c/statslogger.c:678","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/statslogger.c:731","(style) Condition 'status!=MAMA_STATUS_OK' is always false"
"mama/c_cpp/src/c/statslogger.c:920 -> mama/c_cpp/src/c/statslogger.c:924","(style) Variable 'status' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/statslogger.c:932","(style) Variable 'status' is assigned a value that is never used."
"mama/c_cpp/src/c/statslogger.c:944","(style) The scope of the variable 'i' can be reduced."
"mama/c_cpp/src/c/subscription.c:1178","(style) Variable 'entitlementStatus' is assigned a value that is never used."
"mama/c_cpp/src/c/subscription.c:2124","(style) The scope of the variable 'allowed' can be reduced."
"mama/c_cpp/src/c/subscription.c:2174","(style) The scope of the variable 'allowed' can be reduced."
"mama/c_cpp/src/c/subscription.c:2227","(style) The scope of the variable 'allowed' can be reduced."
"mama/c_cpp/src/c/subscription.c:2507 -> mama/c_cpp/src/c/subscription.c:2513","(style) Variable 'bridge' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/subscription.c:363 -> mama/c_cpp/src/c/subscription.c:365","(style) Variable 'impl' is reassigned a value before the old one has been used."
